"Name","NumCpu","MemoryMB","UsedSpaceGB","HostName","OS"
"LWEBDEK014","8","16384","55.527499443851411342620849609","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBBGK002","8","16384","45.754660594277083873748779297","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"MDCOMGK003","2","4096","61.970202581025660037994384766","mesxc04k121.management.local","Microsoft Windows Server 2012 (64-Bit)"
"LWEBDEK018","8","16384","54.597572225145995616912841797","mesxc04k122.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFRK002","8","16384","45.519487334415316581726074219","mesxc04k122.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK025","8","16384","54.925731875933706760406494141","mesxc04k122.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"OEXMBXK001","12","98304","5763.2045360291376709938049316","mesxc04k108.management.local","Microsoft Windows Server 2012 (64-Bit)"
"LDCOLIK002","1","4096","15.278138252906501293182373047","mesxc04k109.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBDEK016","8","16384","53.646210423670709133148193359","mesxc04k109.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK008","8","16384","54.694257715716958045959472656","mesxc04k109.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"OEXCASK001","4","32768","109.21692927088588476181030273","mesxc04k109.management.local","Microsoft Windows Server 2012 (64-Bit)"
"LWEBWSK002","8","16384","47.063496762886643409729003906","mesxc04k109.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOOPK002","1","3072","12.67628180980682373046875","mesxc04k110.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBDEK004","8","16384","55.142824229784309864044189453","mesxc04k110.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBBGK001","8","16384","45.617319039069116115570068359","mesxc04k110.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"MDCOMGK001","1","2048","21.945841240696609020233154297","mesxc04k110.management.local","Microsoft Windows Server 2008 (32-Bit)"
"LWEBBEK002","8","16384","45.624009173363447189331054688","mesxc04k110.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK021","8","16384","55.700695301406085491180419922","mesxc04k110.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK001","8","16384","55.635954740457236766815185547","mesxc04k111.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBESK001","8","16384","45.594793009571731090545654297","mesxc04k111.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
