Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-02 13:48:59 +0100,40,11.0,11.0,12.0,12.0,13.0,11.78,0.77,40,14.0,16.0,24.5,28.0,35.0,22.7,5.9,40,19.0,25.75,27.0,30.0,39.0,27.5,4.02
2014-03-02 14:18:49 +0100,40,11.0,11.0,11.0,12.0,12.0,11.33,0.71,40,15.0,19.0,24.01,27.01,32.01,22.88,4.5,40,19.0,26.0,27.01,29.51,45.01,28.03,4.51
2014-03-02 14:49:01 +0100,40,11.0,11.0,11.0,12.0,13.0,11.35,0.78,40,14.0,24.0,25.0,29.0,45.0,25.98,6.08,40,19.0,28.0,32.0,34.0,49.01,32.38,5.76
2014-03-02 15:19:00 +0100,40,11.0,11.0,12.0,12.0,13.0,11.58,0.79,40,14.0,18.75,20.0,25.0,31.0,21.3,4.28,40,19.0,23.75,27.0,30.25,39.0,27.18,4.98
2014-03-02 15:48:50 +0100,40,11.0,11.0,11.5,12.0,13.0,11.58,0.82,40,14.0,15.0,18.0,22.0,31.01,18.6,4.27,40,19.0,23.0,26.0,27.25,37.0,26.05,4.23
2014-03-02 16:19:03 +0100,40,11.0,11.0,11.5,12.0,21.0,11.93,2.03,40,14.0,15.0,23.5,24.25,34.0,21.95,6.1,40,22.0,27.0,32.0,36.0,48.01,32.33,5.88
2014-03-02 16:48:53 +0100,40,11.0,11.0,11.0,11.0,12.0,11.08,0.59,40,15.0,24.0,25.0,28.0,37.0,25.65,4.82,40,19.0,26.75,31.5,33.25,40.0,30.75,5.0
2014-03-02 17:19:07 +0100,40,11.0,12.0,12.0,12.0,13.0,12.05,0.68,40,14.0,15.0,16.5,19.0,27.0,17.68,4.04,40,22.0,26.75,31.5,33.25,43.0,30.9,4.5
2014-03-02 17:48:59 +0100,40,11.0,11.0,11.0,12.0,13.0,11.53,0.8,40,17.0,24.0,27.5,30.25,42.0,26.9,5.46,40,20.0,27.0,32.0,35.0,42.0,30.73,5.55
2014-03-02 18:19:13 +0100,40,11.0,12.0,12.0,12.0,13.0,11.9,0.78,40,14.0,14.0,17.0,20.25,31.0,18.0,4.41,40,20.0,24.0,26.0,28.25,45.0,26.53,4.69
2014-03-02 18:48:57 +0100,40,11.0,12.0,12.0,12.0,13.0,12.03,0.8,40,14.0,18.0,23.5,27.25,40.0,23.73,6.56,40,26.0,27.0,32.5,37.0,45.01,32.48,5.37
2014-03-02 19:19:07 +0100,40,10.0,11.0,11.0,12.0,20.0,11.65,1.54,40,15.0,18.0,25.0,27.25,40.0,24.25,5.96,40,20.0,27.75,31.5,37.25,42.01,31.9,5.68
2014-03-02 19:48:52 +0100,40,9.0,11.0,12.0,12.0,13.0,11.7,0.72,40,14.0,18.0,24.0,26.25,38.0,23.25,6.12,40,20.0,27.0,32.0,34.0,47.01,32.1,5.96
2014-03-02 20:19:01 +0100,40,11.0,11.0,11.0,12.0,13.0,11.33,0.78,40,15.0,18.0,24.0,27.0,38.0,23.68,5.4,40,19.0,27.0,31.0,33.0,46.01,30.5,5.2
