Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-01 16:18:52 +0100,40,11.0,11.0,11.0,12.0,19.0,11.83,1.95,40,14.0,18.0,19.0,25.0,35.0,21.33,5.53,40,17.0,28.75,32.5,37.0,44.0,32.48,6.25
2014-03-01 16:48:43 +0100,40,11.0,11.0,11.0,12.0,18.0,11.8,1.8,40,15.0,19.0,25.0,28.0,35.0,24.25,5.6,40,16.0,22.0,25.0,28.25,33.0,24.98,4.42
2014-03-01 17:18:55 +0100,40,9.0,11.0,11.0,11.0,13.0,11.18,0.68,40,14.0,16.75,18.5,25.0,30.0,20.68,4.93,40,16.0,19.75,24.0,29.0,39.0,24.5,5.94
2014-03-01 17:48:48 +0100,40,11.0,11.0,11.0,11.0,13.0,11.08,0.64,40,13.0,15.0,17.0,20.25,25.0,18.13,3.51,40,16.0,20.0,25.5,28.25,39.0,24.95,5.61
2014-03-01 18:18:43 +0100,40,11.0,11.0,11.0,11.0,15.0,11.15,0.85,40,14.0,17.0,17.0,21.0,27.0,18.83,3.74,40,17.0,23.0,26.0,31.0,40.0,26.78,5.54
2014-03-01 18:48:57 +0100,40,11.0,11.0,11.0,11.0,12.0,11.18,0.66,40,14.0,17.75,20.5,25.0,67.01,23.4,11.04,40,16.0,19.75,25.0,30.25,42.0,25.68,6.57
2014-03-01 19:18:52 +0100,40,9.0,11.0,11.0,11.0,15.0,11.3,0.96,40,13.0,15.0,17.0,23.25,34.0,19.23,5.6,40,16.0,20.75,23.0,27.0,37.0,23.68,5.09
2014-03-01 19:48:46 +0100,40,11.0,11.0,11.0,11.0,18.0,11.45,1.56,40,14.0,14.0,17.0,19.0,28.0,17.93,4.31,40,16.0,20.0,25.0,31.0,37.0,25.55,6.27
2014-03-01 20:18:38 +0100,40,11.0,11.0,11.0,12.0,18.0,11.68,1.48,40,14.0,23.75,28.0,35.0,56.01,29.43,10.23,40,26.0,31.75,34.5,40.0,57.01,35.7,7.08
2014-03-01 20:48:51 +0100,40,11.0,11.0,11.0,12.0,12.0,11.28,0.7,40,14.0,14.0,16.5,18.25,31.0,17.73,4.46,40,16.0,24.0,26.5,32.25,42.0,27.63,6.31
2014-03-01 21:18:46 +0100,40,11.0,11.0,11.0,12.0,17.0,11.65,1.48,40,14.0,17.0,24.0,35.25,51.01,27.2,11.39,40,19.0,26.0,30.0,37.25,46.01,30.93,6.22
2014-03-01 21:48:38 +0100,40,11.0,11.0,11.0,11.0,17.0,11.33,1.22,40,14.0,15.0,18.0,21.25,32.0,18.73,4.65,40,16.0,21.75,27.0,30.25,39.0,26.68,5.75
2014-03-01 22:18:48 +0100,40,11.0,11.0,11.0,11.0,12.0,11.08,0.59,40,13.0,17.0,18.0,24.0,28.0,19.83,4.45,40,16.0,23.75,26.0,31.0,39.0,26.8,5.55
2014-03-01 22:48:41 +0100,40,11.0,11.0,11.0,11.0,14.0,11.28,0.92,40,12.0,18.0,19.0,24.0,33.0,20.65,4.7,40,16.0,19.75,26.0,30.0,40.0,25.3,5.96
2014-03-01 23:18:57 +0100,40,11.0,11.0,11.0,12.0,19.0,11.6,1.67,40,14.0,17.75,21.5,25.25,36.0,22.15,5.57,40,16.0,22.75,27.0,32.0,93.01,30.08,13.92
2014-03-01 23:48:50 +0100,40,11.0,11.0,11.0,11.0,12.0,11.1,0.61,40,14.0,15.75,17.0,22.0,31.0,19.28,4.99,40,16.0,19.0,22.0,29.0,39.0,23.83,6.09
2014-03-02 00:48:59 +0100,40,11.0,11.0,11.0,11.0,18.0,11.35,1.28,40,13.0,14.75,18.5,24.25,34.0,20.3,5.58,40,17.0,24.75,27.5,35.5,57.01,30.15,8.97
2014-03-02 01:26:30 +0100,40,11.0,11.0,11.0,12.0,14.0,11.38,0.88,40,13.0,16.75,20.5,25.0,34.0,21.08,5.52,40,16.23,18.77,22.82,26.88,33.47,23.56,5.38
